Scotland, Life tables (period 1x10), Females     Last modified: 26-Apr-2013, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1855-1859        0     0.11544  0.10738  0.35  100000   10738   93020  4501300  45.01
1855-1859        1     0.06492  0.06288  0.50   89262    5613   86456  4408280  49.39
1855-1859        2     0.03590  0.03526  0.50   83649    2950   82175  4321824  51.67
1855-1859        3     0.02351  0.02323  0.50   80700    1875   79762  4239650  52.54
1855-1859        4     0.01802  0.01786  0.50   78825    1408   78121  4159887  52.77
1855-1859        5     0.01396  0.01386  0.50   77417    1073   76881  4081766  52.72
1855-1859        6     0.01077  0.01071  0.50   76344     818   75935  4004886  52.46
1855-1859        7     0.00817  0.00814  0.50   75526     615   75219  3928951  52.02
1855-1859        8     0.00627  0.00625  0.50   74912     468   74678  3853732  51.44
1855-1859        9     0.00511  0.00510  0.50   74444     379   74254  3779054  50.76
1855-1859       10     0.00466  0.00465  0.50   74064     345   73892  3704800  50.02
1855-1859       11     0.00450  0.00449  0.50   73720     331   73554  3630907  49.25
1855-1859       12     0.00448  0.00447  0.50   73389     328   73225  3557353  48.47
1855-1859       13     0.00463  0.00462  0.50   73061     337   72892  3484128  47.69
1855-1859       14     0.00494  0.00493  0.50   72723     359   72544  3411236  46.91
1855-1859       15     0.00539  0.00538  0.50   72365     389   72170  3338692  46.14
1855-1859       16     0.00582  0.00580  0.50   71976     417   71767  3266522  45.38
1855-1859       17     0.00619  0.00617  0.50   71558     442   71337  3194755  44.65
1855-1859       18     0.00654  0.00652  0.50   71116     463   70885  3123418  43.92
1855-1859       19     0.00690  0.00687  0.50   70653     486   70410  3052533  43.20
1855-1859       20     0.00726  0.00723  0.50   70167     507   69914  2982123  42.50
1855-1859       21     0.00759  0.00756  0.50   69660     526   69397  2912209  41.81
1855-1859       22     0.00787  0.00784  0.50   69134     542   68863  2842812  41.12
1855-1859       23     0.00808  0.00805  0.50   68592     552   68316  2773949  40.44
1855-1859       24     0.00827  0.00823  0.50   68040     560   67760  2705633  39.77
1855-1859       25     0.00843  0.00840  0.50   67480     567   67196  2637873  39.09
1855-1859       26     0.00859  0.00855  0.50   66913     572   66627  2570677  38.42
1855-1859       27     0.00877  0.00874  0.50   66341     580   66051  2504050  37.75
1855-1859       28     0.00900  0.00896  0.50   65761     589   65467  2437999  37.07
1855-1859       29     0.00922  0.00918  0.50   65172     598   64873  2372532  36.40
1855-1859       30     0.00944  0.00939  0.50   64574     606   64270  2307660  35.74
1855-1859       31     0.00967  0.00963  0.50   63967     616   63659  2243389  35.07
1855-1859       32     0.00990  0.00986  0.50   63351     624   63039  2179730  34.41
1855-1859       33     0.01009  0.01004  0.50   62727     630   62412  2116691  33.74
1855-1859       34     0.01021  0.01016  0.50   62097     631   61781  2054279  33.08
1855-1859       35     0.01029  0.01023  0.50   61466     629   61151  1992497  32.42
1855-1859       36     0.01035  0.01029  0.50   60837     626   60524  1931346  31.75
